,week_day,route_id,start_time,travel_time,month_day,stop_id
467,1,1,44360,63,7,2
468,1,0,44413,93,7,2
469,1,0,44708,75,7,2
470,1,3,44781,94,7,2
471,1,3,44840,115,7,2
472,1,2,44943,89,7,2
473,1,2,44994,130,7,2
474,1,1,45040,136,7,2
475,1,0,45096,136,7,2
476,1,2,45208,87,7,2
477,1,3,45259,103,7,2
478,1,0,45591,65,7,2
479,1,1,45725,54,7,2
480,1,2,45826,56,7,2
481,1,3,46114,60,7,2
482,1,0,46154,89,7,2
483,1,2,46317,75,7,2
484,1,3,46435,59,7,2
485,1,1,46524,62,7,2
486,1,1,46808,71,7,2
487,1,2,46971,68,7,2
488,1,0,47042,81,7,2
489,1,3,47100,95,7,2
490,1,0,47241,57,7,2
491,1,1,47311,45,7,2
492,1,3,47425,67,7,2
493,1,0,47709,70,7,2
494,1,3,47758,91,7,2
495,1,2,47859,82,7,2
496,1,1,47912,111,7,2
497,1,3,48126,54,7,2
498,1,0,48194,71,7,2
499,1,3,48428,56,7,2
500,1,2,48764,67,7,2
501,1,0,48824,91,7,2
502,1,3,48876,123,7,2
503,1,1,48948,121,7,2
504,1,2,49275,59,7,2
505,1,3,49321,81,7,2
506,1,1,49394,78,7,2
507,1,0,49449,91,7,2
508,1,1,49560,61,7,2
509,1,2,49867,69,7,2
510,1,3,49926,89,7,2
511,1,2,50056,92,7,2
512,1,0,50127,88,7,2
513,1,2,50183,99,7,2
514,1,1,50350,46,7,2
515,1,3,50397,68,7,2
516,1,0,50461,66,7,2
517,1,3,50615,57,7,2
518,1,1,50960,69,7,2
519,1,0,51009,108,7,2
520,1,2,51062,133,7,2
521,1,3,51368,65,7,2
522,1,1,51577,64,7,2
523,1,0,51632,94,7,2
524,1,2,51672,110,7,2
525,1,3,51920,57,7,2
526,1,1,52125,65,7,2
527,1,2,52241,62,7,2
528,1,0,52284,86,7,2
529,1,1,52482,44,7,2
530,1,3,52593,60,7,2
531,1,2,52764,66,7,2
532,1,1,52812,96,7,2
533,1,0,52961,67,7,2
534,1,3,53118,61,7,2
535,1,3,53371,58,7,2
536,1,3,53828,60,7,2
537,1,2,53904,85,7,2
538,1,1,54035,80,7,2
539,1,2,54094,93,7,2
540,1,0,54180,77,7,2
541,1,3,54312,49,7,2
542,1,1,54408,57,7,2
543,1,2,54502,65,7,2
544,1,0,54677,80,7,2
545,1,1,54770,119,7,2
546,1,0,54837,113,7,2
547,1,1,54964,72,7,2
548,1,3,55124,87,7,2
549,1,2,55192,97,7,2
550,1,0,55337,78,7,2
551,1,3,55759,66,7,2
552,1,2,55840,61,7,2
553,1,1,55987,64,7,2
554,1,3,56419,58,7,2
555,1,2,56505,73,7,2
556,1,0,56603,74,7,2
557,1,3,56659,87,7,2
558,1,3,56867,81,7,2
559,1,1,57003,74,7,2
560,1,3,57131,54,7,2
561,1,2,57197,76,7,2
562,1,0,57289,65,7,2
563,1,1,57396,102,7,2
